0:0:0:0:0:0:0:1 - - [04/May/2018:01:22:00 +0530] "GET /papi/group/getGroupList HTTP/1.1" 404 1047
127.0.0.1 - - [04/May/2018:16:49:20 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/May/2018:16:49:20 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [04/May/2018:16:49:21 +0530] "GET /papi-ui/images/btightyellow.jpg HTTP/1.1" 200 103689
0:0:0:0:0:0:0:1 - - [04/May/2018:16:49:23 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:50:06 +0530] "GET /papi-ui/ HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [04/May/2018:16:50:06 +0530] "GET /papi-ui/css/login.css HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [04/May/2018:16:50:06 +0530] "GET /papi-ui/css/forms.css HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [04/May/2018:16:50:06 +0530] "GET /papi-ui/css/side-menu.css HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [04/May/2018:16:50:06 +0530] "GET /papi-ui/css/main.css HTTP/1.1" 200 4135
0:0:0:0:0:0:0:1 - - [04/May/2018:16:50:06 +0530] "GET /papi-ui/css/scheduler.css HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [04/May/2018:16:50:06 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 200 2681
0:0:0:0:0:0:0:1 - - [04/May/2018:16:50:06 +0530] "GET /papi-ui/js/utility.js HTTP/1.1" 200 12668
0:0:0:0:0:0:0:1 - - [04/May/2018:16:50:06 +0530] "GET /papi-ui/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [04/May/2018:16:50:06 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [04/May/2018:16:51:55 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 935
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:02 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:02 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:07 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:07 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:21 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:21 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:24 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:24 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:26 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:26 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:32 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:32 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:34 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:34 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:40 +0530] "GET /papi-ui/ HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:40 +0530] "GET /papi-ui/css/forms.css HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:40 +0530] "GET /papi-ui/css/side-menu.css HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:40 +0530] "GET /papi-ui/css/main.css HTTP/1.1" 200 4135
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:40 +0530] "GET /papi-ui/css/scheduler.css HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:40 +0530] "GET /papi-ui/css/login.css HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:40 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 200 2681
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:40 +0530] "GET /papi-ui/js/utility.js HTTP/1.1" 200 12668
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:40 +0530] "GET /papi-ui/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:41 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:41 +0530] "GET /papi-ui/images/btightyellow.jpg HTTP/1.1" 200 103689
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:43 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:52:43 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:54:27 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:54:27 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [04/May/2018:16:54:33 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:54:33 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:54:46 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:54:46 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [04/May/2018:16:54:48 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
