127.0.0.1 - - [07/May/2018:23:33:46 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/May/2018:23:33:47 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:33:47 +0530] "GET /papi-ui/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:33:47 +0530] "GET /papi-ui/css/side-menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:33:47 +0530] "GET /papi-ui/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:33:47 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:33:47 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:33:47 +0530] "GET /papi-ui/css/forms.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:33:47 +0530] "GET /papi-ui/js/utility.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:33:47 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:03 +0530] "GET /papi-ui/ HTTP/1.1" 200 5556
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:03 +0530] "GET /papi-ui/css/login.css HTTP/1.1" 200 3624
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:03 +0530] "GET /papi-ui/css/main.css HTTP/1.1" 200 4135
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:03 +0530] "GET /papi-ui/css/forms.css HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:03 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:03 +0530] "GET /papi-ui/css/side-menu.css HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:03 +0530] "GET /papi-ui/css/scheduler.css HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:03 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:03 +0530] "GET /papi-ui/js/utility.js HTTP/1.1" 200 12668
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:03 +0530] "GET /papi-ui/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:05 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:05 +0530] "GET /papi-ui/images/btightyellow.jpg HTTP/1.1" 200 103689
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:36 +0530] "GET /papi-ui/ HTTP/1.1" 200 5556
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:36 +0530] "GET /papi-ui/css/login.css HTTP/1.1" 200 3624
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:36 +0530] "GET /papi-ui/css/forms.css HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:36 +0530] "GET /papi-ui/css/main.css HTTP/1.1" 200 4135
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:36 +0530] "GET /papi-ui/css/scheduler.css HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:36 +0530] "GET /papi-ui/css/side-menu.css HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:36 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:36 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:36 +0530] "GET /papi-ui/js/utility.js HTTP/1.1" 200 12668
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:36 +0530] "GET /papi-ui/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:38 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [07/May/2018:23:37:38 +0530] "GET /papi-ui/images/btightyellow.jpg HTTP/1.1" 200 103689
0:0:0:0:0:0:0:1 - - [07/May/2018:23:38:50 +0530] "GET /peakaboo/forgot_pass.html HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [07/May/2018:23:38:54 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:39:06 +0530] "GET /papi-ui/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:48:17 +0530] "GET /papi-ui/ HTTP/1.1" 200 5556
0:0:0:0:0:0:0:1 - - [07/May/2018:23:48:17 +0530] "GET /papi-ui/css/side-menu.css HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [07/May/2018:23:48:17 +0530] "GET /papi-ui/css/login.css HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [07/May/2018:23:48:17 +0530] "GET /papi-ui/css/main.css HTTP/1.1" 200 4135
0:0:0:0:0:0:0:1 - - [07/May/2018:23:48:17 +0530] "GET /papi-ui/css/forms.css HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [07/May/2018:23:48:17 +0530] "GET /papi-ui/css/scheduler.css HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [07/May/2018:23:48:17 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [07/May/2018:23:48:17 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [07/May/2018:23:48:17 +0530] "GET /papi-ui/js/utility.js HTTP/1.1" 200 12668
0:0:0:0:0:0:0:1 - - [07/May/2018:23:48:17 +0530] "GET /papi-ui/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [07/May/2018:23:48:20 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [07/May/2018:23:48:20 +0530] "GET /papi-ui/images/btightyellow.jpg HTTP/1.1" 200 103689
0:0:0:0:0:0:0:1 - - [07/May/2018:23:50:49 +0530] "GET /papi-ui/view/common/side_menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:50:49 +0530] "GET /papi-ui/view/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:50:49 +0530] "GET /papi-ui/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:50:49 +0530] "GET /papi-ui/? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:50:49 +0530] "GET /papi-ui/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:50:53 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:23:51:40 +0530] "GET /papi-ui/view/chatScreen.html HTTP/1.1" 304 -
